sk_customer,sk_product,sk_region,sk_shipping,Sales,Quantity,Discount,Profit
1,1,1,1,261.96,2,0.0,41.9136
1,2,1,1,731.94,3,0.0,219.582
2,3,2,2,14.62,2,0.0,6.8714
3,4,3,3,957.5775,5,0.45,-383.031
3,5,3,3,22.368,2,0.2,2.5164
4,6,4,4,48.86,7,0.0,14.1694
4,7,4,4,7.28,4,0.0,1.9656
4,8,4,4,907.152,6,0.2,90.7152
4,9,4,4,18.504,3,0.2,5.7825
4,10,4,4,114.9,5,0.0,34.47
4,11,4,4,1706.184,9,0.2,85.3092
4,12,4,4,911.424,4,0.2,68.3568
5,13,5,5,15.552,3,0.2,5.4432
6,14,6,6,407.976,3,0.2,132.5922
7,15,7,7,68.81,5,0.8,-123.858
7,16,7,7,2.544,3,0.8,-3.816
8,17,8,8,665.88,6,0.0,13.3176
9,18,9,9,55.5,2,0.0,9.99
10,19,10,10,8.56,2,0.0,2.4824
10,20,10,10,213.48,3,0.2,16.011
10,21,10,10,22.72,4,0.2,7.384
11,22,11,11,19.46,7,0.0,5.0596
11,23,11,11,60.34,7,0.0,15.6884
12,24,12,12,71.372,2,0.3,-1.0196
13,4,13,13,1044.63,3,0.0,240.2649
14,25,14,14,11.648,2,0.2,4.2224
14,26,14,14,90.57,3,0.0,11.7741
15,27,12,15,3083.43,7,0.5,-1665.0522
15,28,12,15,9.618,2,0.7,-7.0532
15,29,12,15,124.2,3,0.2,15.525
15,1339,12,15,124.2,3,0.2,15.525
15,30,12,15,3.264,2,0.2,1.1016
15,31,12,15,86.304,6,0.2,9.7092
15,32,12,15,6.858,6,0.7,-5.715
15,33,12,15,15.76,2,0.2,3.546
16,34,15,16,29.472,3,0.2,9.9468
17,35,16,17,1097.544,7,0.2,123.4737
17,36,16,17,190.92,5,0.6,-147.963
18,37,17,18,113.328,9,0.2,35.415
18,38,17,18,532.3992,3,0.32,-46.9764
18,39,17,18,212.058,3,0.3,-15.147
18,40,17,18,371.168,4,0.2,41.7564
19,41,18,19,147.168,4,0.2,16.5564
20,42,14,20,77.88,2,0.0,3.894
21,43,19,21,95.616,2,0.2,9.5616
22,44,20,22,45.98,2,0.0,19.7714
22,45,20,22,17.46,2,0.0,8.2062
23,46,21,23,211.96,4,0.0,8.4784
24,47,22,24,45.0,3,0.0,4.95
24,48,22,24,21.8,2,0.0,6.104
25,49,23,25,38.22,6,0.0,17.9634
25,50,23,25,75.18,6,0.0,35.3346
25,51,23,25,6.16,2,0.0,2.9568
25,52,23,25,89.99,1,0.0,17.0981
26,53,24,26,15.26,7,0.0,6.2566
26,54,24,26,1029.95,5,0.0,298.6855
27,55,25,27,208.56,6,0.0,52.14
27,56,25,27,32.4,5,0.0,15.552
27,57,25,27,319.41,5,0.1,7.098
27,58,25,27,14.56,2,0.0,6.9888
27,47,25,27,30.0,2,0.0,3.3
27,59,25,27,48.48,4,0.2,16.362
27,60,25,27,1.68,1,0.0,0.84
28,61,26,28,13.98,2,0.0,6.1512
28,62,26,28,25.824,6,0.2,9.3612
28,63,26,28,146.73,3,0.0,68.9631
28,64,26,28,79.76,4,0.0,22.3328
29,65,27,29,213.115,5,0.3,-15.2225
29,125,27,29,213.115,5,0.3,-15.2225
30,66,28,30,1113.024,8,0.2,111.3024
30,67,28,30,167.968,4,0.2,62.988
31,68,29,31,75.88,2,0.0,35.6636
32,69,30,32,4.616,1,0.2,1.731
32,1487,30,32,4.616,1,0.2,1.731
15,70,31,33,19.05,3,0.0,8.763
33,71,32,34,831.936,8,0.2,-114.3912
33,72,32,34,97.04,2,0.2,1.213
33,73,32,34,72.784,1,0.2,-18.196
34,74,17,35,1.248,3,0.8,-1.9344
34,75,17,35,9.708,3,0.6,-5.8248
34,76,17,35,27.24,3,0.2,2.724
33,77,33,36,19.3,5,0.6,-14.475
35,78,34,37,208.16,1,0.0,56.2032
35,79,34,37,16.74,3,0.0,8.0352
36,80,35,38,14.9,5,0.0,4.172
36,81,35,38,21.39,1,0.0,6.2031
37,82,36,39,200.984,7,0.2,62.8075
38,83,37,40,230.376,3,0.2,-48.9549
23,84,38,41,301.96,2,0.0,33.2156
39,85,39,42,19.99,1,0.0,6.7966
39,86,39,42,6.16,2,0.0,2.9568
40,87,15,43,158.368,7,0.2,13.8572
41,88,2,44,20.1,3,0.0,6.633
41,41,2,44,73.584,2,0.2,8.2782
41,89,2,44,6.48,1,0.0,3.1104
42,90,40,45,12.96,2,0.0,6.2208
42,91,40,45,53.34,3,0.0,16.5354
42,92,40,45,32.96,2,0.0,16.1504
